,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0,1.99,"5 km SSW of Volcano, Hawaii",1721951937170,1721952095650,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364801,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364801&format=geojson,,,,,automatic,0,61,hv,74364801,",hv74364801,",",hv,",",origin,phase-data,",21.0,0.008814,0.219999999,48.0,ml,earthquake,"M 2.0 - 5 km SSW of Volcano, Hawaii"
1,1.88999999,"7 km SSW of Volcano, Hawaii",1721951807170,1721951883450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364791&format=geojson,,,,,automatic,0,55,hv,74364791,",hv74364791,",",hv,",",origin,phase-data,",15.0,0.008934,0.109999999,78.0,md,earthquake,"M 1.9 - 7 km SSW of Volcano, Hawaii"
2,1.75999999,"6 km SSW of Volcano, Hawaii",1721951523940,1721951648290,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364781,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364781&format=geojson,,,,,automatic,0,48,hv,74364781,",hv74364781,",",hv,",",origin,phase-data,",13.0,0.001996,0.150000006,85.0,md,earthquake,"M 1.8 - 6 km SSW of Volcano, Hawaii"
3,1.83,"6 km SSW of Volcano, Hawaii",1721951414460,1721951574010,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364776&format=geojson,,,,,automatic,0,52,hv,74364776,",hv74364776,",",hv,",",origin,phase-data,",15.0,0.003307,0.180000007,122.0,ml,earthquake,"M 1.8 - 6 km SSW of Volcano, Hawaii"
4,1.87,"8 km SE of Volcano, Hawaii",1721951346330,1721951510350,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364766,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364766&format=geojson,,,,,automatic,0,54,hv,74364766,",hv74364766,",",hv,",",origin,phase-data,",33.0,0.01532,0.25999999,71.0,ml,earthquake,"M 1.9 - 8 km SE of Volcano, Hawaii"
5,1.88,"11 km SSW of San Lucas, CA",1721951008510,1721952867674,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039582,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039582&format=geojson,,,,,automatic,0,54,nc,75039582,",nc75039582,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.1112,0.08,66.0,md,earthquake,"M 1.9 - 11 km SSW of San Lucas, CA"
6,1.3,"12 km WSW of Lake Nacimiento, CA",1721950844950,1722020475640,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039577,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039577&format=geojson,,,,,reviewed,0,26,nc,75039577,",nc75039577,",",nc,",",nearby-cities,origin,phase-data,",21.0,0.108,0.07,73.0,md,quarry blast,"M 1.3 Quarry Blast - 12 km WSW of Lake Nacimiento, CA"
7,2.04999995,"7 km S of Volcano, Hawaii",1721950790440,1721950894230,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364741,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364741&format=geojson,,,,,automatic,0,65,hv,74364741,",hv74364741,",",hv,",",origin,phase-data,",21.0,0.003996,0.150000006,126.0,md,earthquake,"M 2.0 - 7 km S of Volcano, Hawaii"
8,-0.14,"Rat Islands, Aleutian Islands, Alaska",1721950594320,1722021928720,,https://earthquake.usgs.gov/earthquakes/eventpage/av93016534,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93016534&format=geojson,,,,,reviewed,0,0,av,93016534,",av93016534,",",av,",",origin,phase-data,",4.0,0.1103,0.12,339.0,ml,earthquake,"M -0.1 - Rat Islands, Aleutian Islands, Alaska"
9,1.2,"36 km SE of Central, Alaska",1721950346239,1721950527513,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249iq4q3k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249iq4q3k&format=geojson,,,,,automatic,0,22,ak,0249iq4q3k,",ak0249iq4q3k,",",ak,",",origin,phase-data,",,,1.33,,ml,earthquake,"M 1.2 - 36 km SE of Central, Alaska"
